strFKPlatform;strProductCategoryNameZH;strProductCategoryNameEN;strProductCategoryNameDE;bolFetchedAutomatically
Pinduoduo;-;Food;-;FALSE
Pinduoduo;-;Department store;-;FALSE
Pinduoduo;-;Men's Clothing;-;FALSE
Pinduoduo;-;Women's Clothing;-;FALSE
Pinduoduo;-;Shoes ;-;FALSE
Pinduoduo;-;Bags;-;FALSE
Pinduoduo;-;Home textiles;-;FALSE
Pinduoduo;-;Underwear;-;FALSE
Pinduoduo;-;Sports;-;FALSE
Pinduoduo;-;Mother and baby;-;FALSE
Pinduoduo;-;Mobile phone;-;FALSE
Pinduoduo;-;Electrical applicances;-;FALSE
Pinduoduo;-;Accessories;-;FALSE
Pinduoduo;-;Car products;-;FALSE
Pinduoduo;-;Fruits;-;FALSE
Pinduoduo;-;Home textiles;-;FALSE
Pinduoduo;-;Furniture;-;FALSE
Pinduoduo;-;Computer;-;FALSE
Pinduoduo;-;Beauty;-;FALSE
Pinduoduo;-;Medicine;-;FALSE
Pinduoduo;-;Play;-;FALSE
Pinduoduo;-;Haitao;-;FALSE
WeChat Mini Programs;-;All categories customizeable;-;FALSE
Little Red Book (RED);-;Skincare;-;FALSE
Little Red Book (RED);-;Clothing;-;FALSE
Little Red Book (RED);-;Cosmetics;-;FALSE
Little Red Book (RED);-;Home;-;FALSE
Little Red Book (RED);-;Jewelry;-;FALSE
Little Red Book (RED);-;F&B;-;FALSE
Little Red Book (RED);-;Body care;-;FALSE
Little Red Book (RED);-;Health supplement;-;FALSE
Little Red Book (RED);-;Mother and baby;-;FALSE
Little Red Book (RED);-;Bag;-;FALSE
Little Red Book (RED);-;Shoes ;-;FALSE
Little Red Book (RED);-;Sports;-;FALSE
Little Red Book (RED);-;Pet;-;FALSE
JD.com;-;Mobile phones - Mobile - L2;-;FALSE
JD.com;-;Mobile - All phones - L3;-;FALSE
JD.com;-;Mobile - 5G phones - L3;-;FALSE
JD.com;-;Mobile - Gaming phones - L3;-;FALSE
JD.com;-;Mobile - Take a picture of your phone - L3;-;FALSE
JD.com;-;Mobile - Full-screen phone - L3;-;FALSE
JD.com;-;Mobile - Elderly machine - L3;-;FALSE
JD.com;-;Mobile phones - Mobile storage - L2;-;FALSE
JD.com;-;Mobile storage - 32GB - L3;-;FALSE
JD.com;-;Mobile storage - 64GB - L3;-;FALSE
JD.com;-;Mobile storage - 128GB - L3;-;FALSE
JD.com;-;Mobile storage - 256GB - L3;-;FALSE
JD.com;-;Mobile storage - 512GB - L3;-;FALSE
JD.com;-;Mobile phones - Mobile phone recommended - L2;-;FALSE
JD.com;-;Mobile phone recommended - Face recognition - L3;-;FALSE
JD.com;-;Mobile phone recommended - Fast charging - L3;-;FALSE
JD.com;-;Mobile phone recommended - Screen fingerprint - L3;-;FALSE
JD.com;-;Mobile phone recommended - Wireless charging - L3;-;FALSE
JD.com;-;Mobile phone recommended - Three-proof mobile phone - L3;-;FALSE
JD.com;-;Mobile phone recommended - Long battery life - L3;-;FALSE
JD.com;-;Mobile phone recommended - Ultra-high screen ratio - L3;-;FALSE
JD.com;-;Mobile phone recommended - NFC - L3;-;FALSE
JD.com;-;Mobile phones - Mobile phone accessories - L2;-;FALSE
JD.com;-;Mobile phone accessories - Phone case - L3;-;FALSE
JD.com;-;Mobile phone accessories - Mobile phone film - L3;-;FALSE
JD.com;-;Mobile phone accessories - Data cablecharger - L3;-;FALSE
JD.com;-;Mobile phone accessories - Mobile phone - L3;-;FALSE
