strFKPlatform;strProductCategoryNameZH;strProductCategoryNameEN;strProductCategoryNameDE;bolFetchedAutomatically
Tmall;女装;Women's Clothing;Damenbekleidung;True
Tmall;内衣; Underwear; Unterwäsche;True
Tmall;男装; Men's Wear; Herrenbekleidung;True
Tmall;运动户外; Sports outdoors; Sport im Freien;True
Tmall;女鞋; Women's shoes; Damenschuhe;True
Tmall;男鞋; Men's shoes; Herrenschuhe;True
Tmall;箱包; Bags; Taschen;True
Tmall;美妆; Beauty; Schönheit;True
Tmall;个人护理; Personal care; Persönliche Betreuung;True
Tmall;腕表; Watches; Uhren;True
Tmall;眼镜; glasses; Brille;True
Tmall;珠宝饰品; Jewelry; Schmuck;True
Tmall;手机; Mobile phones; Mobiltelefone;True
Tmall;数码; Digital; Digital;True
Tmall;电脑办公; Computer office; Computerbüro;True
Tmall;母婴玩具; Mother and baby toys; Mutter- und Babyspielzeug;True
Tmall;零食; Snacks; Snacks;True
Tmall;茶酒; Tea wine; Teewein;True
Tmall;进口食品; Imported food; Importierte Lebensmittel;True
Tmall;生鲜水果; Fresh fruit; Frisches Obst;True
Tmall;大家电; Major appliances; Großgeräte;True
Tmall;生活电器; Household appliances; Haushaltsgeräte;True
Tmall;家具; Furniture; Möbel;True
Tmall;灯具; Lamps and lanterns; Lampen und Laternen;True
Tmall;卫浴;  Bathroom;  Badezimmer;True
Tmall;汽车; Automotive; Automobilindustrie;True
Tmall;配件; Accessories; Zubehör;True
Tmall;用品; Supplies; Lieferungen;True
Tmall;家纺; Home textiles; Heimtextilien;True
Tmall;家饰; Home Decorations; Wohndekorationen;True
Tmall;鲜花; Flowers; Blumen;True
Tmall;医药保健; Medicine and health care; Medizin und Gesundheitswesen;True
Tmall;厨具; Kitchenware; Küchenutensilien;True
Tmall;收纳; Storage; Lagerung;True
Tmall;宠物; Pets; Haustiere;True
Tmall;图书音像; Books audiovisual; Bücher audiovisuell;True
Taobao;住宅家具;Residential furniture;Wohnmöbel;True
Taobao;居家布藝; Home fabrics; Heimtextilien;True
Taobao;燈具; Lamps; Lampen;True
Taobao;箱包皮具; Luggage leather goods; Gepäcklederwaren;True
Taobao;隱形眼鏡; Lycoperic spectacles; Lykoperische Brille;True
Taobao;運動; Movement; Bewegung;True
Taobao;ZIPPO; ZIPPO; ZIPPO;True
Taobao;家用遊戲機; Home game consoles; Heimspielkonsolen;True
Taobao;男裝; Menswear; Herrenmode;True
Taobao;T恤; T-shirts; T-Shirts;True
Taobao;牛仔褲; Jeans; Jeans;True
Taobao;玩具; Toys; Spielzeug;True
Taobao;童裝; Children's clothing; Kinderkleidung;True
Taobao;手辦盲盒; Handmade blind box; Handgefertigte Jalousiebox;True
Taobao;Cosplay服飾; Cosplay costumes; Cosplay-Kostüme;True
Taobao;桌遊; Board games; Brettspiele;True
Taobao;女裝; Women's clothing; Damenbekleidung;True
Taobao;女鞋; Women's shoes; Damenschuhe;True
Taobao;女士內衣; Women's underwear; Damenunterwäsche;True
Taobao;3C數碼配件; 3C digital accessories; Digitales 3C-Zubehör;True
Taobao;辦公設備; Office equipment; Büroausstattung;True
Taobao;電玩; Video games; Videospiele;True
Taobao;數碼相機; Digital cameras; Digitalkameras;True
Taobao;電腦硬件; Computer hardware; Computerhardware;True
Taobao;鍵盤; Keyboards; Tastaturen;True
Taobao;液晶顯示器; LIQUID CRYSTAL display; FLÜSSIGKRISTALLANZEIGE;True
Taobao;寵物; Pets; Haustiere;True
Taobao;貓狗日用品; Cat dog daily necessities; Katzenhund tägliche Notwendigkeiten;True
Taobao;進口狗食; Imported dog food; Importiertes Hundefutter;True
Taobao;彩妝; Caiyu; Caiyu;True
